slug,title,home,homeColor,away,awayColor,league,startsAt,venue,capacity,seatsTaken,blurb
canucks-vs-flames,Canucks vs Flames,Canucks,#003F7D,Flames,#C8102E,NHL,2026-08-07T19:00:00-07:00,Par 4 Kitchen & Bar,60,42,"Pacific Division rivalry night. Doors at 6, puck drops at 7, and the kitchen runs game-day specials all three periods."
bc-lions-vs-winnipeg,BC Lions vs Winnipeg,BC Lions,#F15D22,Winnipeg,#4A6FA5,CFL,2026-08-07T19:30:00-07:00,The Flying Beaver,80,48,"West Division football on the waterfront patio. Heaters on, wings half price at halftime."
real-madrid-vs-barcelona,Real Madrid vs Barcelona,Real Madrid,#FEBE10,Barcelona,#A50044,La Liga,2026-08-08T13:00:00-07:00,Tap & Barrel,100,93,"El Clásico. The single loudest room we book all season — arrive early, this one always goes."
lakers-vs-celtics,Lakers vs Celtics,Lakers,#552583,Celtics,#007A33,NBA,2026-08-08T16:30:00-07:00,Court House Lounge,50,36,"The oldest rivalry in basketball on a twelve-foot projector wall, with a cocktail list to match."
seahawks-vs-49ers,Seahawks vs 49ers,Seahawks,#4A7FA5,49ers,#AA0000,NFL,2026-08-08T20:00:00-07:00,Stadium District Bar,120,96,NFC West on tiered stadium seating with broadcast-grade sound. Jerseys get you a drink special.
raptors-vs-warriors,Raptors vs Warriors,Raptors,#CE1141,Warriors,#1D428A,NBA,2026-08-09T19:00:00-07:00,The Charles Bar,70,29,Canada's team in a proper neighbourhood room. Weekly prize draw at the end of the third.
juventus-vs-inter-milan,Juventus vs Inter Milan,Juventus,#5C5C5C,Inter Milan,#0068A8,Serie A,2026-08-12T11:30:00-07:00,Par 4 Kitchen & Bar,60,48,Derby d'Italia over a late breakfast. Espresso menu runs all morning.
whitecaps-vs-lafc,Whitecaps vs LAFC,Whitecaps,#04266A,LAFC,#C39E6D,MLS,2026-08-13T19:00:00-07:00,Tap & Barrel,100,61,"Local side, Western Conference stakes, and a patio that looks straight across False Creek."
blue-jays-vs-yankees,Blue Jays vs Yankees,Blue Jays,#134A8E,Yankees,#6E7A8A,MLB,2026-08-15T17:00:00-07:00,Stadium District Bar,120,111,"AL East baseball with a Toronto-heavy crowd. Peanuts on the house, obviously."
arsenal-vs-man-city,Arsenal vs Man City,Arsenal,#EF0107,Man City,#6CABDD,Premier League,2026-08-16T10:00:00-07:00,The Flying Beaver,80,22,Sunday morning football with a full breakfast menu and the sound turned up.
